Board,Microcontroller,Operating Voltage,Input Voltage (recommended),Input Voltage (limit),Digital I/O Pins,PWM Pins,Analog Input Pins,Analog Output Pins,Flash Memory,SRAM,EEPROM,Clock Speed,UART,I2C,SPI,USB,Length,Width,Weight
ESP-12F,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,160KB,None,80 MHz,1,1,1,None,25mm,15mm,3g
ESP-12S,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,160KB,None,80 MHz,1,1,1,None,25mm,15mm,3g
NodeMCU DevKit,ESP8266,3.3V,3.3V,3.6V,17,2,1,0,4MB,80KB,None,80 MHz,1,1,1,1x micro-USB,58mm,38mm,30g
Adafruit Huzzah,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,160KB,None,80 MHz,1,1,1,1x micro-USB,50mm,25mm,15g
SparkFun ESP8266 Boards,ESP8266,3.3V,3.3V,3.6V,17,0,1,0,4MB,80KB,None,80 MHz,1,1,1,1x micro-USB,50mm,25mm,15g
Olimex ESP8266 Module,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,64KB,None,80 MHz,1,1,1,None,30mm,20mm,5g
ESP32-D0WDQ6,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,35mm,35mm,5g
ESP32-D0WD,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,35mm,35mm,5g
ESP32-D2WD,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,35mm,35mm,5g
ESP32-S0WD,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,35mm,35mm,5g
ESP32-C3,ESP32,3.3V,3.3V,3.6V,22,11,8,0,4MB,400KB,None,160 MHz,2,2,1,1x USB-C,20mm,20mm,4g
ESP32-S2,ESP32,3.3V,3.3V,3.6V,43,16,20,0,4MB,320KB,None,240 MHz,1,1,1,1x USB-C,30mm,30mm,6g
ESP32-S3,ESP32,3.3V,3.3V,3.6V,44,16,20,0,8MB,512KB,None,240 MHz,2,2,4,1x USB-C,30mm,30mm,6g
ESP32-P4,ESP32,3.3V,3.3V,3.6V,40,16,20,0,4MB,320KB,None,240 MHz,2,2,4,1x USB-C,30mm,30mm,6g
ESP32-C6,ESP32,3.3V,3.3V,3.6V,40,16,20,0,4MB,320KB,None,240 MHz,2,2,4,1x USB-C,30mm,30mm,6g
ESP32-WROOM-32,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROVER,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROOM-32D,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROOM-32U,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROVER-B,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROVER-I,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-WROVER-IE,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,27mm,18mm,5g
ESP32-C3-MINI-1,ESP32,3.3V,3.3V,3.6V,22,11,8,0,4MB,400KB,None,160 MHz,2,2,1,1x USB-C,20mm,20mm,4g
ESP32-S2-WROOM,ESP32,3.3V,3.3V,3.6V,43,16,20,0,4MB,320KB,None,240 MHz,1,1,1,1x USB-C,30mm,30mm,6g
ESP32-S3-WROOM,ESP32,3.3V,3.3V,3.6V,44,16,20,0,8MB,512KB,None,240 MHz,2,2,4,1x USB-C,30mm,30mm,6g
ESP32 DevKitC,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,50mm,25mm,10g
ESP32 DevKitV1,ESP32,3.3V,3.3V,3.6V,34,16,18,2,4MB,520KB,None,240 MHz,3,2,4,1x USB-C,50mm,25mm,10g
ESP32-PICO-KIT,ESP32,3.3V,3.3V,3.6V,22,11,8,0,4MB,400KB,None,160 MHz,2,2,1,1x USB-C,40mm,25mm,8g
ESP32-C3-DevKitM-1,ESP32,3.3V,3.3V,3.6V,22,11,8,0,4MB,400KB,None,160 MHz,2,2,1,1x USB-C,50mm,25mm,10g
ESP32-S2-DevKit,ESP32,3.3V,3.3V,3.6V,43,16,20,0,4MB,320KB,None,240 MHz,1,1,1,1x USB-C,50mm,25mm,10g
ESP32-S3-DevKit,ESP32,3.3V,3.3V,3.6V,44,16,20,0,8MB,512KB,None,240 MHz,2,2,4,1x USB-C,50mm,25mm,10g
ESP32-P4-Function-EV-Board,ESP32,3.3V,3.3V,3.6V,40,16,20,0,4MB,320KB,None,240 MHz,2,2,4,1x USB-C,70mm,50mm,15g
ESP32-S3-LCD-Ev-Board,ESP32,3.3V,3.3V,3.6V,44,16,20,0,8MB,512KB,None,240 MHz,2,2,4,1x USB-C,70mm,50mm,15g
ESP32-S3-LCD-Ev-Board-2,ESP32,3.3V,3.3V,3.6V,44,16,20,0,8MB,512KB,None,240 MHz,2,2,4,1x USB-C,70mm,50mm,15g
